Date,CustomerID,InvoiceID,ProductID,ProductName,Category,SubCategory,City,State,Zone,Qty,Rate,Amount,DiscountPct,NetAmount,PaymentMethod,SalesChannel
2024-11-11,CUST0292,INV100000,PROD0164,Product 164,Beverages,Water,Ahmedabad,Gujarat,West,10,123.41,1234.1,12.5,1079.84,Card,Online
2024-07-20,CUST0017,INV100001,PROD0103,Product 103,Snacks,Nuts,Visakhapatnam,Andhra Pradesh,South,5,59.94,299.7,12.5,262.24,UPI,Online
2023-09-08,CUST0493,INV100002,PROD0137,Product 137,Snacks,Chips,Patna,Bihar,East,2,42.22,84.44,12.5,73.88,Wallet,Wholesale
2023-02-11,CUST0132,INV100003,PROD0190,Product 190,Personal Care,Shampoo,Ahmedabad,Gujarat,West,10,273.47,2734.7,0,2734.7,Net Banking,Wholesale
2024-06-19,CUST0312,INV100004,PROD0069,Product 69,Dairy,Milk,Kolkata,West Bengal,East,14,93.79,1313.06,12.5,1148.93,UPI,Wholesale
2024-04-20,CUST0156,INV100005,PROD0016,Product 16,Household,Cleaner,Ahmedabad,Gujarat,West,9,68.34,615.06,0,615.06,Wallet,Distributor
2023-04-30,CUST0051,INV100006,PROD0138,Product 138,Beverages,Juice,Delhi,Delhi,North,20,80.34,1606.8,0,1606.8,Card,Distributor
2024-09-04,CUST0227,INV100007,PROD0022,Product 22,Electronics,Charger,Bengaluru,Karnataka,South,3,740.49,2221.47,5,2110.4,Wallet,Wholesale
2025-03-07,CUST0250,INV100008,PROD0077,Product 77,Beverages,Water,Bhopal,Madhya Pradesh,Central,21,172.24,3617.04,12.5,3164.91,UPI,Distributor
2024-05-19,CUST0330,INV100009,PROD0050,Product 50,Electronics,Earphones,Jaipur,Rajasthan,North,23,808.39,18592.97,10,16733.67,Net Banking,Online
2023-09-28,CUST0324,INV100010,PROD0046,Product 46,Bakery,Pastry,Visakhapatnam,Andhra Pradesh,South,2,233.09,466.18,0,466.18,Cash,Online
2024-10-02,CUST0445,INV100011,PROD0137,Product 137,Household,Tissue,Jaipur,Rajasthan,North,18,67.72,1218.96,0,1218.96,Wallet,Online
2024-05-22,CUST0226,INV100012,PROD0029,Product 29,Personal Care,Lotion,Mumbai,Maharashtra,West,16,189.23,3027.68,0,3027.68,Cash,Distributor
2023-12-17,CUST0084,INV100013,PROD0046,Product 46,Snacks,Chocolates,Lucknow,Uttar Pradesh,North,3,23.72,71.16,0,71.16,UPI,Distributor
2023-11-11,CUST0327,INV100014,PROD0176,Product 176,Personal Care,Shampoo,Bengaluru,Karnataka,South,16,42.94,687.04,0,687.04,Card,Wholesale
2024-08-07,CUST0257,INV100015,PROD0079,Product 79,Bakery,Pastry,Bengaluru,Karnataka,South,11,90.48,995.28,0,995.28,Cash,Wholesale
2025-05-22,CUST0345,INV100016,PROD0040,Product 40,Bakery,Cake,Kolkata,West Bengal,East,12,103.75,1245,0,1245,Net Banking,Wholesale
2025-03-09,CUST0081,INV100017,PROD0157,Product 157,Personal Care,Toothpaste,Visakhapatnam,Andhra Pradesh,South,7,41.63,291.41,0,291.41,Net Banking,Distributor
2023-05-29,CUST0372,INV100018,PROD0069,Product 69,Household,Tissue,Vadodara,Gujarat,West,15,145.02,2175.3,12.5,1903.39,Cash,Online
2024-07-30,CUST0157,INV100019,PROD0086,Product 86,Bakery,Bun,Patna,Bihar,East,15,138.03,2070.45,12.5,1811.64,Cash,Distributor
2023-12-29,CUST0202,INV100020,PROD0196,Product 196,Produce,Fruits,Indore,Madhya Pradesh,Central,8,25.84,206.72,5,196.38,UPI,Distributor
2024-11-08,CUST0331,INV100021,PROD0036,Product 36,Electronics,Power Bank,Mumbai,Maharashtra,West,11,2052.99,22582.89,5,21453.75,Card,Wholesale
2025-03-20,CUST0367,INV100022,PROD0066,Product 66,Dairy,Butter,Mumbai,Maharashtra,West,17,64.56,1097.52,5,1042.64,Cash,Distributor
2025-05-26,CUST0196,INV100023,PROD0084,Product 84,Household,Cleaner,Thane,Maharashtra,West,8,375.64,3005.12,0,3005.12,Wallet,Distributor
2025-01-08,CUST0141,INV100024,PROD0028,Product 28,Snacks,Biscuits,Chennai,Tamil Nadu,South,22,63.87,1405.14,0,1405.14,Cash,Distributor
2024-09-13,CUST0304,INV100025,PROD0121,Product 121,Beverages,Soda,Vadodara,Gujarat,West,5,42.53,212.65,10,191.39,Card,Online
2024-07-04,CUST0301,INV100026,PROD0097,Product 97,Beverages,Tea,Pune,Maharashtra,West,10,129.42,1294.2,0,1294.2,Cash,Online
2023-11-29,CUST0190,INV100027,PROD0113,Product 113,Dairy,Milk,Vadodara,Gujarat,West,5,152.32,761.6,12.5,666.4,Card,Retail
2024-08-10,CUST0397,INV100028,PROD0188,Product 188,Produce,Fruits,Hyderabad,Telangana,South,4,127.95,511.8,0,511.8,Wallet,Online
2024-07-24,CUST0103,INV100029,PROD0144,Product 144,Snacks,Chocolates,Ahmedabad,Gujarat,West,19,48.11,914.09,5,868.39,Cash,Online
2025-07-15,CUST0272,INV100030,PROD0075,Product 75,Beverages,Coffee,Delhi,Delhi,North,5,144.02,720.1,0,720.1,Cash,Online
2024-04-16,CUST0396,INV100031,PROD0115,Product 115,Household,Cleaner,Surat,Gujarat,West,20,306.87,6137.4,12.5,5370.22,Net Banking,Wholesale
2023-05-24,CUST0186,INV100032,PROD0086,Product 86,Household,Tissue,Jaipur,Rajasthan,North,4,192.7,770.8,0,770.8,Wallet,Retail
2025-05-01,CUST0062,INV100033,PROD0165,Product 165,Produce,Vegetables,Indore,Madhya Pradesh,Central,5,150.65,753.25,10,677.92,Net Banking,Retail
2024-05-31,CUST0271,INV100034,PROD0016,Product 16,Bakery,Bread,Nashik,Maharashtra,West,13,97.63,1269.19,0,1269.19,Net Banking,Retail
2025-01-22,CUST0448,INV100035,PROD0084,Product 84,Electronics,Power Bank,Nashik,Maharashtra,West,13,767,9971,10,8973.9,Cash,Retail
2024-08-10,CUST0039,INV100036,PROD0145,Product 145,Snacks,Chips,Kanpur,Uttar Pradesh,North,4,135.19,540.76,0,540.76,Card,Retail
2024-04-07,CUST0473,INV100037,PROD0120,Product 120,Household,Detergent,Bhopal,Madhya Pradesh,Central,15,154.05,2310.75,12.5,2021.91,Cash,Distributor
2024-04-09,CUST0456,INV100038,PROD0190,Product 190,Personal Care,Toothpaste,Delhi,Delhi,North,19,146.94,2791.86,10,2512.67,Card,Online
2023-01-07,CUST0271,INV100039,PROD0200,Product 200,Produce,Fruits,Indore,Madhya Pradesh,Central,20,124.31,2486.2,0,2486.2,Wallet,Online
2023-06-04,CUST0320,INV100040,PROD0100,Product 100,Beverages,Tea,Ahmedabad,Gujarat,West,20,130.96,2619.2,0,2619.2,Cash,Distributor
2025-07-03,CUST0133,INV100041,PROD0058,Product 58,Bakery,Pastry,Kolkata,West Bengal,East,18,111.31,2003.58,0,2003.58,Wallet,Online
2023-07-05,CUST0451,INV100042,PROD0184,Product 184,Personal Care,Shampoo,Hyderabad,Telangana,South,23,231.87,5333.01,5,5066.36,Card,Online
2023-12-02,CUST0052,INV100043,PROD0007,Product 7,Beverages,Coffee,Kanpur,Uttar Pradesh,North,22,130.69,2875.18,5,2731.42,Cash,Retail
2024-03-10,CUST0446,INV100044,PROD0081,Product 81,Household,Cleaner,Kolkata,West Bengal,East,12,78.43,941.16,0,941.16,Cash,Wholesale
2023-05-07,CUST0139,INV100045,PROD0060,Product 60,Household,Tissue,Mumbai,Maharashtra,West,9,104.67,942.03,12.5,824.28,Card,Distributor
2024-04-02,CUST0428,INV100046,PROD0097,Product 97,Beverages,Soda,Kolkata,West Bengal,East,4,176.59,706.36,10,635.72,Net Banking,Retail
2023-04-06,CUST0225,INV100047,PROD0103,Product 103,Household,Cleaner,Indore,Madhya Pradesh,Central,3,252.23,756.69,5,718.86,Wallet,Retail
2025-01-28,CUST0497,INV100048,PROD0045,Product 45,Snacks,Biscuits,Kolkata,West Bengal,East,19,148.07,2813.33,0,2813.33,UPI,Distributor
2025-03-29,CUST0310,INV100049,PROD0092,Product 92,Bakery,Pastry,Kolkata,West Bengal,East,20,122.68,2453.6,0,2453.6,Card,Retail
2023-01-17,CUST0260,INV100050,PROD0093,Product 93,Electronics,Power Bank,Visakhapatnam,Andhra Pradesh,South,24,1497.73,35945.52,10,32350.97,UPI,Distributor
2023-11-14,CUST0004,INV100051,PROD0098,Product 98,Produce,Vegetables,Bengaluru,Karnataka,South,7,168.85,1181.95,0,1181.95,Cash,Online
2024-10-28,CUST0429,INV100052,PROD0017,Product 17,Produce,Herbs,Lucknow,Uttar Pradesh,North,24,149.96,3599.04,12.5,3149.16,Card,Retail
2023-05-25,CUST0330,INV100053,PROD0100,Product 100,Electronics,Earphones,Jaipur,Rajasthan,North,21,1992.89,41850.69,0,41850.69,Cash,Retail
2023-05-24,CUST0434,INV100054,PROD0064,Product 64,Personal Care,Soap,Hyderabad,Telangana,South,15,252.78,3791.7,12.5,3317.74,Wallet,Wholesale
2024-01-16,CUST0356,INV100055,PROD0121,Product 121,Beverages,Tea,Thane,Maharashtra,West,17,163.49,2779.33,0,2779.33,Card,Online
2025-01-29,CUST0317,INV100056,PROD0107,Product 107,Personal Care,Lotion,Chennai,Tamil Nadu,South,1,209.54,209.54,5,199.06,Card,Wholesale
2024-05-24,CUST0415,INV100057,PROD0172,Product 172,Personal Care,Toothpaste,Bengaluru,Karnataka,South,10,245.78,2457.8,0,2457.8,Card,Retail
2023-01-30,CUST0105,INV100058,PROD0079,Product 79,Produce,Herbs,Nagpur,Maharashtra,West,24,96.98,2327.52,0,2327.52,Cash,Online
2025-07-24,CUST0402,INV100059,PROD0007,Product 7,Bakery,Bread,Vadodara,Gujarat,West,11,245.2,2697.2,0,2697.2,UPI,Wholesale
2023-04-13,CUST0209,INV100060,PROD0012,Product 12,Produce,Herbs,Visakhapatnam,Andhra Pradesh,South,11,153.97,1693.67,0,1693.67,Card,Wholesale
2024-05-02,CUST0008,INV100061,PROD0090,Product 90,Household,Detergent,Bhopal,Madhya Pradesh,Central,3,286.77,860.31,0,860.31,UPI,Retail
2024-05-02,CUST0238,INV100062,PROD0107,Product 107,Electronics,Charger,Thane,Maharashtra,West,22,1587.25,34919.5,0,34919.5,UPI,Online
2024-05-04,CUST0241,INV100063,PROD0066,Product 66,Personal Care,Toothpaste,Kanpur,Uttar Pradesh,North,22,151.56,3334.32,10,3000.89,Cash,Retail
2025-04-04,CUST0253,INV100064,PROD0192,Product 192,Household,Cleaner,Ahmedabad,Gujarat,West,10,292.32,2923.2,0,2923.2,Wallet,Wholesale
2025-06-27,CUST0483,INV100065,PROD0037,Product 37,Household,Detergent,Bengaluru,Karnataka,South,13,281.4,3658.2,10,3292.38,Net Banking,Online
2023-12-03,CUST0315,INV100066,PROD0027,Product 27,Household,Cleaner,Jaipur,Rajasthan,North,10,137.88,1378.8,10,1240.92,Card,Online
2024-11-08,CUST0364,INV100067,PROD0119,Product 119,Dairy,Cheese,Surat,Gujarat,West,16,62.16,994.56,0,994.56,Net Banking,Online
2023-01-15,CUST0075,INV100068,PROD0149,Product 149,Beverages,Soda,Pune,Maharashtra,West,20,135.21,2704.2,0,2704.2,Card,Wholesale
2023-01-12,CUST0074,INV100069,PROD0163,Product 163,Beverages,Coffee,Chennai,Tamil Nadu,South,9,179.54,1615.86,0,1615.86,Net Banking,Online
2024-04-07,CUST0293,INV100070,PROD0124,Product 124,Electronics,Power Bank,Kolkata,West Bengal,East,2,1146.16,2292.32,0,2292.32,Wallet,Distributor
2023-12-12,CUST0110,INV100071,PROD0117,Product 117,Dairy,Yogurt,Bengaluru,Karnataka,South,12,29.87,358.44,0,358.44,Cash,Online
2024-11-10,CUST0457,INV100072,PROD0048,Product 48,Dairy,Butter,Vadodara,Gujarat,West,2,172.35,344.7,12.5,301.61,Wallet,Distributor
2024-10-19,CUST0050,INV100073,PROD0172,Product 172,Bakery,Bun,Delhi,Delhi,North,2,118.07,236.14,0,236.14,Cash,Distributor
2023-05-04,CUST0014,INV100074,PROD0140,Product 140,Personal Care,Soap,Ahmedabad,Gujarat,West,4,85.41,341.64,0,341.64,Net Banking,Retail
2024-03-22,CUST0282,INV100075,PROD0183,Product 183,Dairy,Cheese,Nagpur,Maharashtra,West,2,141.17,282.34,10,254.11,Cash,Distributor
2025-05-10,CUST0284,INV100076,PROD0022,Product 22,Personal Care,Lotion,Visakhapatnam,Andhra Pradesh,South,2,53.11,106.22,0,106.22,Card,Wholesale
2024-07-30,CUST0349,INV100077,PROD0057,Product 57,Beverages,Coffee,Nagpur,Maharashtra,West,5,116.53,582.65,5,553.52,Wallet,Wholesale
2024-12-11,CUST0441,INV100078,PROD0136,Product 136,Beverages,Water,Nagpur,Maharashtra,West,7,105.04,735.28,0,735.28,Wallet,Wholesale
2024-10-12,CUST0485,INV100079,PROD0136,Product 136,Personal Care,Toothpaste,Chennai,Tamil Nadu,South,14,63.37,887.18,0,887.18,UPI,Wholesale
2025-05-28,CUST0325,INV100080,PROD0159,Product 159,Household,Cleaner,Kanpur,Uttar Pradesh,North,24,169.34,4064.16,0,4064.16,Wallet,Distributor
2025-07-04,CUST0104,INV100081,PROD0072,Product 72,Beverages,Soda,Lucknow,Uttar Pradesh,North,12,52.6,631.2,10,568.08,Net Banking,Distributor
2023-09-15,CUST0244,INV100082,PROD0120,Product 120,Bakery,Cake,Lucknow,Uttar Pradesh,North,4,248.03,992.12,10,892.91,UPI,Retail
2023-03-02,CUST0363,INV100083,PROD0143,Product 143,Dairy,Cheese,Thane,Maharashtra,West,14,162.33,2272.62,5,2158.99,Wallet,Retail
2024-02-05,CUST0387,INV100084,PROD0106,Product 106,Personal Care,Shampoo,Vadodara,Gujarat,West,4,197.43,789.72,0,789.72,Card,Wholesale
2025-05-04,CUST0403,INV100085,PROD0041,Product 41,Produce,Vegetables,Nashik,Maharashtra,West,13,125.54,1632.02,0,1632.02,Card,Wholesale
2025-01-13,CUST0180,INV100086,PROD0019,Product 19,Household,Tissue,Hyderabad,Telangana,South,6,153.54,921.24,5,875.18,Net Banking,Retail
2025-02-17,CUST0379,INV100087,PROD0150,Product 150,Personal Care,Shampoo,Patna,Bihar,East,16,96.65,1546.4,0,1546.4,Card,Online
2023-08-26,CUST0168,INV100088,PROD0003,Product 3,Snacks,Nuts,Visakhapatnam,Andhra Pradesh,South,21,102.38,2149.98,10,1934.98,UPI,Distributor
2023-06-07,CUST0339,INV100089,PROD0113,Product 113,Dairy,Milk,Kanpur,Uttar Pradesh,North,7,27.84,194.88,10,175.39,Wallet,Distributor
2023-04-26,CUST0037,INV100090,PROD0194,Product 194,Bakery,Bun,Pune,Maharashtra,West,12,94.41,1132.92,5,1076.27,Net Banking,Online
2023-08-19,CUST0321,INV100091,PROD0120,Product 120,Produce,Herbs,Chennai,Tamil Nadu,South,23,104.62,2406.26,12.5,2105.48,Net Banking,Online
2024-03-07,CUST0268,INV100092,PROD0027,Product 27,Snacks,Nuts,Ahmedabad,Gujarat,West,14,37.49,524.86,0,524.86,Net Banking,Distributor
2024-03-05,CUST0030,INV100093,PROD0164,Product 164,Snacks,Nuts,Jaipur,Rajasthan,North,17,128.1,2177.7,12.5,1905.49,Cash,Online
2023-09-06,CUST0342,INV100094,PROD0065,Product 65,Bakery,Bread,Mumbai,Maharashtra,West,12,169.45,2033.4,5,1931.73,UPI,Distributor
2024-07-28,CUST0300,INV100095,PROD0127,Product 127,Household,Air Freshener,Jaipur,Rajasthan,North,20,275.72,5514.4,0,5514.4,UPI,Distributor
2024-09-08,CUST0311,INV100096,PROD0145,Product 145,Produce,Herbs,Visakhapatnam,Andhra Pradesh,South,14,30.1,421.4,0,421.4,Net Banking,Retail
2024-08-17,CUST0056,INV100097,PROD0152,Product 152,Snacks,Chips,Bengaluru,Karnataka,South,21,112.58,2364.18,0,2364.18,Card,Online
2025-05-22,CUST0345,INV100098,PROD0182,Product 182,Produce,Vegetables,Pune,Maharashtra,West,19,35.2,668.8,10,601.92,Cash,Distributor
2024-08-03,CUST0236,INV100099,PROD0147,Product 147,Beverages,Soda,Bhopal,Madhya Pradesh,Central,23,152.29,3502.67,5,3327.54,UPI,Wholesale
2025-01-16,CUST0093,INV100100,PROD0007,Product 7,Bakery,Bread,Lucknow,Uttar Pradesh,North,20,150.12,3002.4,0,3002.4,Net Banking,Retail
2024-04-01,CUST0234,INV100101,PROD0065,Product 65,Bakery,Bun,Nagpur,Maharashtra,West,6,206.82,1240.92,12.5,1085.8,Card,Online
2024-07-25,CUST0402,INV100102,PROD0013,Product 13,Bakery,Pastry,Jaipur,Rajasthan,North,22,173.24,3811.28,5,3620.72,Card,Wholesale
2025-05-27,CUST0395,INV100103,PROD0141,Product 141,Bakery,Pastry,Nagpur,Maharashtra,West,8,41.84,334.72,0,334.72,Card,Distributor
2025-07-25,CUST0046,INV100104,PROD0086,Product 86,Bakery,Cake,Surat,Gujarat,West,12,42.23,506.76,0,506.76,Cash,Retail
2025-02-13,CUST0370,INV100105,PROD0024,Product 24,Produce,Vegetables,Thane,Maharashtra,West,7,177.85,1244.95,0,1244.95,Net Banking,Wholesale
2025-07-06,CUST0196,INV100106,PROD0052,Product 52,Dairy,Yogurt,Nagpur,Maharashtra,West,22,177.88,3913.36,0,3913.36,Cash,Distributor
2023-07-14,CUST0186,INV100107,PROD0194,Product 194,Personal Care,Shampoo,Surat,Gujarat,West,20,191.51,3830.2,0,3830.2,UPI,Retail
2023-07-23,CUST0298,INV100108,PROD0080,Product 80,Dairy,Cheese,Indore,Madhya Pradesh,Central,21,78.51,1648.71,0,1648.71,Wallet,Retail
2024-02-11,CUST0048,INV100109,PROD0024,Product 24,Produce,Vegetables,Hyderabad,Telangana,South,2,124.33,248.66,10,223.79,Cash,Online
2023-11-28,CUST0069,INV100110,PROD0099,Product 99,Snacks,Nuts,Thane,Maharashtra,West,8,60.98,487.84,0,487.84,Wallet,Retail
2023-01-27,CUST0116,INV100111,PROD0114,Product 114,Beverages,Coffee,Kanpur,Uttar Pradesh,North,1,124.86,124.86,0,124.86,Card,Online
2023-05-29,CUST0254,INV100112,PROD0058,Product 58,Household,Cleaner,Ahmedabad,Gujarat,West,5,252.47,1262.35,0,1262.35,Net Banking,Wholesale
2024-02-29,CUST0007,INV100113,PROD0076,Product 76,Household,Detergent,Thane,Maharashtra,West,20,295.21,5904.2,0,5904.2,Net Banking,Distributor
2024-10-04,CUST0285,INV100114,PROD0142,Product 142,Household,Air Freshener,Chennai,Tamil Nadu,South,7,355.5,2488.5,10,2239.65,Wallet,Distributor
2024-01-09,CUST0295,INV100115,PROD0100,Product 100,Dairy,Butter,Jaipur,Rajasthan,North,19,152.79,2903.01,5,2757.86,Net Banking,Online
2025-05-30,CUST0461,INV100116,PROD0061,Product 61,Bakery,Bun,Delhi,Delhi,North,11,62.93,692.23,0,692.23,Card,Online
2024-07-02,CUST0424,INV100117,PROD0180,Product 180,Household,Cleaner,Bengaluru,Karnataka,South,22,157.64,3468.08,12.5,3034.57,Wallet,Distributor
2023-10-03,CUST0161,INV100118,PROD0027,Product 27,Household,Tissue,Kanpur,Uttar Pradesh,North,21,328.78,6904.38,0,6904.38,Card,Distributor
2023-03-08,CUST0295,INV100119,PROD0014,Product 14,Electronics,Adapter,Vadodara,Gujarat,West,19,719.88,13677.72,0,13677.72,Wallet,Distributor
2025-07-06,CUST0489,INV100120,PROD0044,Product 44,Beverages,Water,Patna,Bihar,East,16,72.34,1157.44,12.5,1012.76,Wallet,Retail
2024-08-06,CUST0178,INV100121,PROD0123,Product 123,Personal Care,Soap,Nagpur,Maharashtra,West,11,112.24,1234.64,0,1234.64,UPI,Online
2024-02-10,CUST0130,INV100122,PROD0187,Product 187,Beverages,Water,Vadodara,Gujarat,West,20,127.79,2555.8,12.5,2236.33,Net Banking,Wholesale
2023-08-27,CUST0111,INV100123,PROD0170,Product 170,Electronics,Power Bank,Kanpur,Uttar Pradesh,North,19,1546.85,29390.15,12.5,25716.38,Cash,Online
2025-06-02,CUST0292,INV100124,PROD0131,Product 131,Produce,Fruits,Kanpur,Uttar Pradesh,North,23,49.74,1144.02,0,1144.02,Wallet,Online
2024-09-20,CUST0004,INV100125,PROD0157,Product 157,Beverages,Juice,Nashik,Maharashtra,West,10,153.01,1530.1,10,1377.09,UPI,Retail
2024-09-07,CUST0033,INV100126,PROD0136,Product 136,Produce,Herbs,Chennai,Tamil Nadu,South,2,94.68,189.36,10,170.42,Card,Wholesale
